Time,Latitude,Longitude,Altitude,Relative Altitude,Heading
BREAK,2025-04-17 10:51:25.553718,,,,
1744909375.0612047,39.0187197,-104.8935596,2157.47,0.89,178.05,DiscoStates.ALTITUDE_CONTROL
1744909375.1228127,39.0187197,-104.8935596,2157.47,0.89,178.05,DiscoStates.ALTITUDE_CONTROL
1744909375.1647766,39.0187197,-104.8935596,2157.47,0.89,178.05,DiscoStates.ALTITUDE_CONTROL
1744909375.1856346,39.0187197,-104.8935596,2157.47,0.891,178.04,DiscoStates.ALTITUDE_CONTROL
1744909375.2266116,39.0187197,-104.8935597,2157.42,0.846,178.05,DiscoStates.ALTITUDE_CONTROL
1744909375.2473683,39.0187197,-104.8935597,2157.42,0.846,178.05,DiscoStates.ALTITUDE_CONTROL
1744909375.2883627,39.0187197,-104.8935597,2157.42,0.846,178.05,DiscoStates.ALTITUDE_CONTROL
1744909375.3090134,39.0187198,-104.8935597,2157.44,0.86,178.05,DiscoStates.ALTITUDE_CONTROL
1744909375.3703022,39.0187198,-104.8935597,2157.44,0.86,178.05,DiscoStates.ALTITUDE_CONTROL
1744909375.3909056,39.0187197,-104.8935597,2157.47,0.893,178.06,DiscoStates.ALTITUDE_CONTROL
1744909375.411529,39.0187197,-104.8935597,2157.47,0.893,178.06,DiscoStates.ALTITUDE_CONTROL
1744909375.472973,39.0187197,-104.8935596,2157.46,0.882,178.07,DiscoStates.ALTITUDE_CONTROL
1744909375.4936378,39.0187197,-104.8935596,2157.46,0.882,178.07,DiscoStates.ALTITUDE_CONTROL
1744909375.514332,39.0187196,-104.8935596,2157.43,0.859,178.07,DiscoStates.ALTITUDE_CONTROL
1744909375.5351443,39.0187196,-104.8935596,2157.43,0.859,178.07,DiscoStates.ALTITUDE_CONTROL
1744909375.616841,39.0187196,-104.8935596,2157.43,0.859,178.07,DiscoStates.ALTITUDE_CONTROL
1744909375.63754,39.0187196,-104.8935594,2157.4,0.828,178.08,DiscoStates.ALTITUDE_CONTROL
1744909375.6582596,39.0187196,-104.8935594,2157.4,0.828,178.08,DiscoStates.ALTITUDE_CONTROL
1744909375.6789997,39.0187196,-104.8935593,2157.39,0.813,178.09,DiscoStates.ALTITUDE_CONTROL
1744909375.7405443,39.0187196,-104.8935593,2157.39,0.813,178.09,DiscoStates.ALTITUDE_CONTROL
1744909375.7612417,39.0187196,-104.8935594,2157.36,0.782,178.09,DiscoStates.ALTITUDE_CONTROL
1744909375.822526,39.0187196,-104.8935594,2157.36,0.782,178.09,DiscoStates.ALTITUDE_CONTROL
1744909375.8432066,39.0187194,-104.8935592,2157.36,0.781,178.08,DiscoStates.ALTITUDE_CONTROL
1744909375.8638072,39.0187194,-104.8935592,2157.36,0.781,178.08,DiscoStates.ALTITUDE_CONTROL
1744909375.9150822,39.0187194,-104.8935591,2157.3,0.723,178.08,DiscoStates.ALTITUDE_CONTROL
1744909375.9458876,39.0187193,-104.893559,2157.26,0.681,178.1,DiscoStates.ALTITUDE_CONTROL
1744909375.9665177,39.0187193,-104.893559,2157.26,0.681,178.1,DiscoStates.ALTITUDE_CONTROL
1744909376.0482178,39.0187193,-104.893559,2157.26,0.681,178.1,DiscoStates.ALTITUDE_CONTROL
1744909376.0688214,39.0187192,-104.8935589,2157.2,0.623,178.11,DiscoStates.ALTITUDE_CONTROL
1744909376.0894678,39.0187192,-104.8935589,2157.2,0.623,178.11,DiscoStates.ALTITUDE_CONTROL
1744909376.1102462,39.018719,-104.8935589,2157.13,0.557,178.12,DiscoStates.ALTITUDE_CONTROL
1744909376.1718762,39.0187189,-104.8935589,2157.09,0.514,178.14,DiscoStates.ALTITUDE_CONTROL
1744909376.1925905,39.0187189,-104.8935589,2157.09,0.514,178.14,DiscoStates.ALTITUDE_CONTROL
1744909376.253825,39.0187189,-104.8935588,2157.07,0.494,178.15,DiscoStates.ALTITUDE_CONTROL
1744909376.2745466,39.0187189,-104.8935588,2157.07,0.494,178.15,DiscoStates.ALTITUDE_CONTROL
1744909376.3157353,39.0187189,-104.8935588,2157.07,0.494,178.15,DiscoStates.ALTITUDE_CONTROL
1744909376.3367944,39.0187189,-104.8935588,2157.08,0.505,178.16,DiscoStates.ALTITUDE_CONTROL
1744909376.3677366,39.0187189,-104.8935588,2157.06,0.487,178.17,DiscoStates.ALTITUDE_CONTROL
1744909376.4190526,39.0187189,-104.8935588,2157.06,0.487,178.17,DiscoStates.ALTITUDE_CONTROL
1744909376.4803257,39.0187189,-104.8935588,2157.06,0.489,178.19,DiscoStates.ALTITUDE_CONTROL
1744909376.5009491,39.0187189,-104.8935588,2157.06,0.489,178.19,DiscoStates.ALTITUDE_CONTROL
1744909376.521727,39.0187188,-104.8935589,2157.04,0.463,178.2,DiscoStates.ALTITUDE_CONTROL
1744909376.5425088,39.0187188,-104.8935589,2157.04,0.463,178.2,DiscoStates.ALTITUDE_CONTROL
1744909376.6039274,39.0187187,-104.8935588,2157.0,0.421,178.21,DiscoStates.ALTITUDE_CONTROL
1744909376.6246004,39.0187187,-104.8935588,2157.0,0.421,178.21,DiscoStates.ALTITUDE_CONTROL
1744909376.6656413,39.0187187,-104.8935588,2157.0,0.421,178.21,DiscoStates.ALTITUDE_CONTROL
1744909376.6863394,39.0187188,-104.8935587,2156.93,0.359,178.21,DiscoStates.ALTITUDE_CONTROL
1744909376.7475398,39.0187188,-104.8935587,2156.93,0.359,178.21,DiscoStates.ALTITUDE_CONTROL
1744909376.768245,39.0187188,-104.8935587,2156.93,0.359,178.21,DiscoStates.ALTITUDE_CONTROL
1744909376.7889543,39.0187188,-104.8935587,2156.93,0.359,178.21,DiscoStates.ALTITUDE_CONTROL
1744909376.8095372,39.0187188,-104.8935586,2156.86,0.283,178.21,DiscoStates.ALTITUDE_CONTROL
1744909376.8708513,39.0187188,-104.8935586,2156.86,0.283,178.21,DiscoStates.ALTITUDE_CONTROL
1744909376.9121075,39.0187188,-104.8935586,2156.86,0.283,178.21,DiscoStates.ALTITUDE_CONTROL
1744909376.9329476,39.0187188,-104.8935586,2156.86,0.283,178.21,DiscoStates.ALTITUDE_CONTROL
1744909376.97412,39.0187186,-104.8935585,2156.75,0.172,178.22,DiscoStates.ALTITUDE_CONTROL
1744909376.9949045,39.0187186,-104.8935585,2156.75,0.172,178.22,DiscoStates.ALTITUDE_CONTROL
1744909377.036028,39.0187186,-104.8935585,2156.75,0.172,178.22,DiscoStates.ALTITUDE_CONTROL
1744909377.0567322,39.0187186,-104.8935585,2156.75,0.172,178.22,DiscoStates.ALTITUDE_CONTROL
1744909377.1180997,39.0187186,-104.8935585,2156.75,0.172,178.22,DiscoStates.ALTITUDE_CONTROL
1744909377.1388783,39.0187184,-104.8935585,2156.67,0.098,178.23,DiscoStates.ALTITUDE_CONTROL
1744909377.1597028,39.0187184,-104.8935585,2156.67,0.098,178.23,DiscoStates.ALTITUDE_CONTROL
BREAK,2025-04-17 11:04:47.519155,,,,,
1744909490.5728762,39.0187188,-104.8935602,2158.76,2.048,206.2,DiscoStates.LOCATE
1744909490.5942705,39.0187188,-104.8935602,2158.76,2.048,206.2,DiscoStates.ALTITUDE_CONTROL
1744909490.6353595,39.0187188,-104.8935602,2158.76,2.048,206.2,DiscoStates.ALTITUDE_CONTROL
1744909490.6562412,39.0187189,-104.8935602,2158.68,1.969,206.12,DiscoStates.ALTITUDE_CONTROL
1744909490.6769001,39.0187189,-104.8935602,2158.68,1.969,206.12,DiscoStates.ALTITUDE_CONTROL
1744909490.6976502,39.018719,-104.8935602,2158.61,1.899,206.03,DiscoStates.ALTITUDE_CONTROL
