Time,Latitude,Longitude,Altitude,Relative Altitude,Heading,State
BREAK,2025-04-29 10:40:33.181699,,,,,
1745945018.4371748,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745945019.4787323,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945020.4999506,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945021.5414746,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945022.6031306,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945023.6238718,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945024.6445704,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745945025.6680965,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745945026.7300458,39.0187817,-104.8939695,2171.09,11.01,179.68,DiscoStates.COORD_CONTROL
1745945027.7508712,39.0187817,-104.8939695,2171.09,11.01,179.68,DiscoStates.COORD_CONTROL
1745945028.792363,39.0187817,-104.8939695,2171.09,11.01,179.68,DiscoStates.COORD_CONTROL
1745945029.813168,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945030.9020562,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945031.9229405,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945032.9439423,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945033.9650102,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945035.0269504,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945036.0708067,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945037.091605,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745945038.1327116,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945039.1535032,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945040.19471,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945041.2155745,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945042.27742,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945043.2982233,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945044.319073,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945045.3807387,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745945046.4019957,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745945047.4229271,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945048.4437582,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945049.5259013,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945050.54688,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945051.5951097,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945052.6159818,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745945053.67769,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745945054.6987412,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945055.7199159,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945056.7819688,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945057.80296,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945058.8446224,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945059.865575,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945060.9067261,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945061.9280272,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945062.9700446,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945064.032531,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
