Time,Latitude,Longitude,Altitude,Relative Altitude,Heading
1732131687.656746,39.018739,-104.8936729,2164.99,-0.091,203.61
1732131687.677227,39.0187391,-104.893673,2164.97,-0.118,203.62
1732131687.6977317,39.0187391,-104.893673,2164.97,-0.118,203.62
1732131687.7587662,39.0187393,-104.8936733,2164.99,-0.097,203.81
1732131687.806426,39.0187393,-104.8936733,2164.99,-0.097,203.81
1732131687.8269353,39.0187386,-104.8936787,2165.59,0.506,236.91
1732131687.8474607,39.0187386,-104.8936787,2165.59,0.506,236.91
1732131687.9086068,39.0187343,-104.893689,2166.9,1.813,227.03
1732131687.929165,39.0187343,-104.893689,2166.9,1.813,227.03
1732131687.949655,39.018733,-104.8936932,2167.93,2.841,174.94
1732131687.9701278,39.018733,-104.8936932,2167.93,2.841,174.94
1732131688.0313392,39.018733,-104.8936806,2168.58,3.49,164.18
1732131688.05192,39.018733,-104.8936806,2168.58,3.49,164.18
1732131688.0724664,39.0187387,-104.89364,2169.14,4.055,132.3
1732131688.092983,39.0187387,-104.89364,2169.14,4.055,132.3
1732131688.1541033,39.0187481,-104.8935908,2169.84,4.758,114.97
1732131688.1746585,39.0187481,-104.8935908,2169.84,4.758,114.97
1732131688.1952653,39.0187724,-104.8935054,2171.32,6.23,106.67
1732131688.2159545,39.0187724,-104.8935054,2171.32,6.23,106.67
1732131688.2770352,39.0187662,-104.8934766,2172.77,7.686,113.37
1732131688.2976167,39.0187662,-104.8934766,2172.77,7.686,113.37
1732131688.3181913,39.0187638,-104.8934527,2174.47,9.385,114.62
1732131688.3387675,39.0187638,-104.8934527,2174.47,9.385,114.62
1732131688.3998458,39.0187548,-104.8934392,2176.18,11.098,118.58
1732131688.4204626,39.0187548,-104.8934392,2176.18,11.098,118.58
1732131688.4411077,39.0187547,-104.8934298,2178.11,13.022,133.33
1732131688.4616992,39.0187547,-104.8934298,2178.11,13.022,133.33
1732131688.5228257,39.0187551,-104.8934307,2179.5,14.419,156.72
1732131688.5433831,39.0187551,-104.8934307,2179.5,14.419,156.72
1732131688.5639544,39.0187618,-104.893433,2180.81,15.72,150.93
1732131688.5845256,39.0187618,-104.893433,2180.81,15.72,150.93
1732131688.6455896,39.0187727,-104.8934394,2181.82,16.732,149.67
1732131688.6662498,39.0187727,-104.8934394,2181.82,16.732,149.67
1732131688.6868103,39.01877,-104.8934371,2182.6,17.519,145.15
1732131688.7073314,39.01877,-104.8934371,2182.6,17.519,145.15
1732131688.7683713,39.0187449,-104.8934186,2183.84,18.754,150.47
1732131688.7889535,39.0187449,-104.8934186,2183.84,18.754,150.47
1732131688.8095298,39.0187195,-104.893389,2184.61,19.525,108.85
1732131688.8301024,39.0187195,-104.893389,2184.61,19.525,108.85
1732131688.8914602,39.0187038,-104.8933495,2185.23,20.148,112.9
1732131688.9123876,39.0187038,-104.8933495,2185.23,20.148,112.9
1732131688.9329412,39.0186993,-104.8933198,2185.71,20.626,110.79
1732131688.9534469,39.0186993,-104.8933198,2185.71,20.626,110.79
1732131689.0145047,39.0186998,-104.8933007,2186.1,21.017,110.59
1732131689.0350559,39.0186998,-104.8933007,2186.1,21.017,110.59
1732131689.0556245,39.0187036,-104.8932895,2186.29,21.203,114.27
1732131689.0762935,39.0187036,-104.8932895,2186.29,21.203,114.27
1732131689.1373894,39.0187079,-104.8932831,2186.59,21.501,118.36
1732131689.158012,39.0187079,-104.8932831,2186.59,21.501,118.36
1732131689.1786087,39.0187133,-104.8932838,2187.2,22.115,122.22
1732131689.1991959,39.0187133,-104.8932838,2187.2,22.115,122.22
1732131689.2602787,39.0187181,-104.8932923,2187.94,22.858,125.44
1732131689.2808557,39.0187181,-104.8932923,2187.94,22.858,125.44
1732131689.3015015,39.0187181,-104.8932923,2187.94,22.858,125.44
1732131689.3422976,39.0187181,-104.8932923,2187.94,22.858,125.44
1732131689.362847,39.0187181,-104.8932923,2187.94,22.858,125.44
1732131689.403731,39.0187181,-104.8932923,2187.94,22.858,125.44
1732131689.4242978,39.0187181,-104.8932923,2187.94,22.858,125.44
1732131689.7855272,39.018728,-104.8933043,2188.61,23.522,129.22
1732131689.816642,39.018728,-104.8933043,2188.61,23.522,129.22
1732131690.7919621,39.0187415,-104.8933203,2189.07,23.987,163.95
1732131690.8177009,39.0187415,-104.8933203,2189.07,23.987,163.95
1732131691.8187425,39.0187415,-104.8933203,2189.07,23.987,163.95
1732131691.8409224,39.0187588,-104.8933326,2189.22,24.133,161.45
1732131692.8193078,39.0187588,-104.8933326,2189.22,24.133,161.45
1732131692.8677664,39.0187754,-104.8933407,2189.2,24.118,160.54
1732131693.8305387,39.0187754,-104.8933407,2189.2,24.118,160.54
1732131693.8833365,39.0187435,-104.8933403,2189.3,24.214,164.81
1732131694.836446,39.0187435,-104.8933403,2189.3,24.214,164.81
1732131694.8997083,39.0186908,-104.8933349,2189.78,24.694,171.43
1732131695.8424754,39.0186908,-104.8933349,2189.78,24.694,171.43
1732131695.933473,39.0186548,-104.8933343,2190.12,25.031,174.11
1732131696.8535714,39.0186548,-104.8933343,2190.12,25.031,174.11
1732131696.9241564,39.0186221,-104.8933357,2189.75,24.666,178.25
1732131697.8632064,39.0186221,-104.8933357,2189.75,24.666,178.25
1732131697.940285,39.0185854,-104.8933396,2189.55,24.467,181.38
1732131698.8986409,39.0185854,-104.8933396,2189.55,24.467,181.38
1732131698.9576228,39.0185103,-104.8933638,2189.43,24.348,188.92
